Brand_Name,Therapeutic_Area,TA Notes,Disease,Disease - level 2,Indication,Approval_Year,Enrollment,Sex_comparison,Race_comparison,Age_comparison,Race_detail,Women,White,Black,Asian,Hispanic,Other,Age_65_or_older,Age_75_or_older,Age_80_or_older,United_States,FDA_provided_TA
PALYNZIQ,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Lowering the blood levels of phenylalanine in adults with phenylketonuria (PKU) ,2018,285,yes,no,no,no - white majority,50,98,1,0,3,,0,,,100,No. Dr. Bierer reviewed TA label
SYMDEKO,Pulmonology and Rheumatology,,,,Treatment of cystic fibrosis ,2018,916,yes,no,yes,no - white majority,50,97,1,1,3,,0,,,0,No. Dr. Bierer reviewed TA label
TROGARZO,Infectious Diseases,,HIV-1,,Treatment of human immunodeficiency virus-1 (HIV-1) infection in adults. ,2018,40,no,no,no,no,15,55,33,10,25,,5,,,90,Yes
TAVALISSE,Hematology,,Other Hematology,,Treatment of adults with low platelet count due to chronic immune thrombocytopenia (ITP) ,2018,150,yes,no,yes,no - white majority,61,93,3,3,3,,26,,,13,No. Dr. Bierer reviewed TA label
TIBSOVO,Oncology,,Leukemia,AML,Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH1 and whose disease has come back or has not improved after previous treatment(s) ,2018,179,yes,no,yes,no - white majority,50,63,6,3,5,,37,,,83,Yes
IDHIFA,Oncology,,Leukemia,AML,Treatment of relapsed acute myelogenous leukemia,2017,214,,,,,49,77,6,1,9,,60,,,83,Yes
DEFITELIO,Oncology,,Other oncology,,Treatment of hepatic veno-occlusive disease (VOD) ,2016,528,,,,,45,71,6,4,,19,0,,,,No. Dr. Bierer reviewed TA label
IBSRELA,Gastroenterology,,,,Treatment of irritable bowel syndrome with constipation ,2019,1199,yes,yes,yes,yes,82,64,31,3,28,,8,,,100,No. Dr. Bierer reviewed TA label
XOSPATA,Oncology,,Leukemia,AML,Treatment of relapsed or refractory acute myeloid leukemia with one specific gene mutation ,2018,292,yes,no,yes,no - white & asian majority,53,62,5,24,5,,41,,,57,Yes
SUNOSI,Sleep Disorders,,,,Improvement of wakefulness in patients with narcolepsy or obstructive sleep apnea ,2019,622,yes,no,yes,no - white majority,49,77,18,2,8,,12,,,90,Yes
REYVOW,Neurology,,Migraine,,Treatment of acute migraine ,2019,4439,yes,yes,yes,yes,84,78,18,1,18,,4,,,90,Yes
XPOVIO,Oncology,,Multiple Myeloma,,Treatment of multiple myeloma ,2019,202,yes,no,yes,no - white majority,47,73,17,1,5,,48,,,81,Yes
BRINEURA,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of Batten disease,2017,24,,,,,63,96,0,4,4,,0,,,13,No. Dr. Bierer reviewed TA label
CABLIVI,Hematology,,Other Hematology,,Treatment of an episode of acquired thrombotic thrombocytopenic purpura ,2019,216,yes,no,yes,no - white majority,67,74,17,2,3,,6,,,22,Yes
ASPARLAS,Oncology,,Leukemia,ALL,Treatment of acute lymphoblastic leukemia (ALL) in children and young adults ,2018,237,yes,no,yes,no - white majority,38,70,5,4,17,,0,,,62,Yes
DUPIXENT,Dermatology,,,,Treatment of atopic dermatitis,2017,1338,,,,,42,67,6,24,4,,4,,,34,No. Dr. Bierer reviewed TA label
TAKHZYRO,Dermatology,"Really unclear. Could be metabolism? Really ""allergy""",,,Prevention of attacks of hereditary angioedema in people twelve years and older ,2018,125,yes,no,no,no - white majority,70,90,8,2,4,,4,,,7,No. Dr. Bierer reviewed TA label
YUPELRI,Pulmonology and Rheumatology,,,,Maintenance treatment of adults with a lung disease called COPD ,2018,813,yes,no,yes,no - white majority,51,90,9,1,4,,48,,,100,No. Dr. Bierer reviewed TA label
DAYVIGO,Sleep Disorders,,,,Treatment of insomnia ,2019,1692,yes,yes,yes,yes,76,73,15,11,12,,35,,,54,Yes
LUTATHERA,Oncology,,Other oncology,,Treatment of somatostatin receptor-positive gastro-entero-pancreatic neuroendocrine tumors (GEP-NETs) ,2018,229,yes,no,yes,no - white majority,49,82,4,1,3,,49,,,58,Yes
ELZO-5IS,Oncology,,Other oncology,,Treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN) in adults and children ,2018,94,yes,no,yes,no - white majority,23,90,4,3,10,,56,,,100,Yes
BIKTARVY,Infectious Diseases,,HIV-1,,Treatment of human immunodeficiency virus-1 (HIV-1) infection in adults ,2018,2414,yes,yes,no,yes,13,63,29,3,21,,2,,,65,Yes
AXUMIN,Oncology,,Prostate cancer,,Detection of prostate cancer recurrence ,2016,596,,,,,0,31,4,1,,64,66,,,,No. Dr. Bierer reviewed TA label
EMPLICITI,Oncology,,Multiple Myeloma,,Treatment of multiple myeloma ,2015,646,,,,,40,84,4,10,,2,57,20,7,,Yes
NERLYNX,Oncology,,Breast cancer,,Treatment of HER2 positive breast cancer,2017,2840,,,,,100,81,3,13,2,,12,,,32,Yes
GALAFOLD,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of Fabry disease in adults ,2018,67,yes,no,no,no - white majority,64,97,0,0,6,,1,,,30,No. Dr. Bierer reviewed TA label
UBRELVY,Neurology,,Migraine,,Treatment of acute migraine ,2019,2423,yes,yes,yes,yes,89,82,15,1,15,,3,,,100,Yes
TPOXX,Infectious Diseases,,Other Infectious Diseases,,Treatment of smallpox disease ,2018,449,yes,yes,no,yes,59,69,28,1,11,,10,,,100,Yes
VYNDAQEL/VYNDAMAX,Cardiovascular Diseases,,Cardiomyopathy,,Treatment of certain type of cardiomyopathy ,2019,441,yes,yes,yes,yes,10,81,14,,3,,91,,,63,No. Dr. Bierer reviewed TA label
CALQUENCE,Oncology,,Lymphoma,MCL,Treatment of mantle cell lymphoma,2017,124,,,,,20,74,3,0,3,,65,,,36,Yes
TREMFYA,Dermatology,,,,Treatment of plaque psoriasis,2017,1829,,,,,29,82,2,14,6,,5,,,20,No. Dr. Bierer reviewed TA label
ULTOMIRIS,Hematology,,Other Hematology,,Treatment of adults with paroxysmal nocturnal hemoglobinuria (PNH) ,2018,441,yes,no,yes,no - white & asian majority,47,47,3,39,6,,14,,,4,No. Dr. Bierer reviewed TA label
VYLEESI,Gynecology,,,,Treatment of women with hypoactive sexual desire disorder ,2019,1267,yes,no,yes,no - white majority,100,86,12,1,9,,0,,,97,No. Dr. Bierer reviewed TA label
ACCRUFER,Hematology,,Other Hematology,,Treatment of iron deficiency ,2019,295,yes,no,yes,no - white majority,68,83,12,2,14,,41,,,57,Yes
AIMOVIG,Neurology,,Migraine,,Preventive treatment of migraine in adults ,2018,2184,yes,no,yes,no - white majority,85,15,7,1,7,,0,,,49,Yes
ANTHIM,Infectious Diseases,,Other Infectious Diseases,,For the treatment of inhalational anthrax ,2016,370,,,,,46,69,28,1,,2,9,,,,No. Dr. Bierer reviewed TA label
GENVOYA-2,Infectious Diseases,,HIV-1,,Complete regimen for the treatment of HIV-1 in adults,2015,3171,,,,,13,61,23,9,,7,3,1,1,,No. Dr. Bierer reviewed TA label
JEUVEAU,Dermatology,,,,Temporary improvement of glabellar lines ,2019,654,no,no,no,no - white majority,91,84,8,2,0,,10,,,100,No. Dr. Bierer reviewed TA label
MULPLETA,Hematology,,Other Hematology,,Treatment of adults with low platelet count ,2018,341,yes,yes,yes,yes,41,50,1,47,8,,37,,,9,No. Dr. Bierer reviewed TA label
PIFELTRO,Infectious Diseases,,HIV-1,,Treatment of HIV-1 infection in adults ,2018,1494,yes,yes,no,yes,16,61,21,9,28,,1,,,30,Yes
CRYSVITA,Endocrinology and Metabolism,,Hypophosphatasia,,Treatment of X-linked hypophosphatemia ,2018,199,yes,no,yes,no - white majority,60,83,3,11,8,,1,,,59,No. Dr. Bierer reviewed TA label
ZEPATIER,Infectious Diseases,,Hepatitis-C,,Treatment of chronic Hepatis C genotypes-1-or-4 infection ,2016,2704,,,,,39,75,15,9,,1,11,,,,No. Dr. Bierer reviewed TA label
AKLIEF,Dermatology,,,,Treatment of acne vulgaris ,2019,2420,yes,yes,yes,yes,55,87,7,3,17,,0,,,45,No. Dr. Bierer reviewed TA label
SYMPROIC,Gastroenterology,,,,Treatment of opioid-induced constipation,2017,2336,,,,,62,80,18,1,8,,15,,,85,No. Dr. Bierer reviewed TA label
KISQALI,Oncology,,Breast cancer,,Treatment of HR-positive HER2-negative breast cancer,2017,668,,,,,100,82,3,8,10,,44,,,32,Yes
COPIKTRA,Oncology,,Leukemia,CLL,"Treatment of chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and follicular lymphoma (FL) ",2018,442,yes,no,yes,no - white majority,35,92,3,1,11,,61,,,30,Yes
RINVOQ,Pulmonology and Rheumatology,,,,Treatment of rheumatoid arthritis ,2019,3141,yes,yes,yes,yes,79,85,6,7,27,,20,,,26,No. Dr. Bierer reviewed TA label
ILUMYA,Dermatology,,,,Treatment of moderate to severe plaque psoriasis ,2018,1060,yes,no,no,no - white majority,29,80,3,14,9,,9,,,33,No. Dr. Bierer reviewed TA label
VOSEVI,Infectious Diseases,,Hepatitis-C,,"Treatment of hepatitis C genotypes 1,2,3,4,5 or 6",2017,748,,,,,23,84,12,2,7,,16,,,57,Yes
TALZENNA,Oncology,,Breast cancer,,Treatment of adults with a specific form of breast cancer ,2018,431,n/a - women,no,yes,no - white majority,98,70,3,11,11,,9,,,36,Yes
ROZLYTREK,Oncology,,NSCLC,,Treatment of non-small cell lung cancer ,2019,355,yes,no,no,no - white & asian majority,55,66,5,23,3,,25,,,51,Yes
XENLETA,Infectious Diseases,,Other Infectious Diseases,,Treatment of community-acquired bacterial pneumonia ,2019,1289,yes,no,yes,no - white & asian majority,44,79,5,11,8,,40,,,2,No. Dr. Bierer reviewed TA label
OXERVATE,Ophthalmology,,,,Treatment of neurotrophic keratitis ,2018,151,yes,no,yes,no - white majority,62,90,3,,10,,47,,,31,No. Dr. Bierer reviewed TA label
POLIVY,Oncology,,Lymphoma,DLBCL,Treatment of diffuse large B- cell lymphoma ,2019,80,no,no,no,no,34,71,4,12,3,,61,,,30,Yes
IMFINZI,Oncology,,Bladder cancer,,Treatment of urothelial carcinoma,2017,182,,,,,28,64,3,20,,,62,,,49,Yes
AJOVY,Neurology,,Migraine,,Preventive treatment of migraine in adults ,2018,1986,yes,no,no,no - white majority,87,80,9,10,10,,2,,,73,Yes
BEVYXXA,Hematology,,Other Hematology,,Prevention of venous thromboembolism,2017,7513,,,,,54,93,2,1,11,,90,,,7,No. Dr. Bierer reviewed TA label
NUBEQA,Oncology,,Prostate cancer,,Treatment of prostate cancer ,2019,1509,n/a - men,no,yes,no - white & asian majority,0,79,3,13,3,,87,,,9,Yes
VENCLEXTA,Oncology,,Leukemia,CLL,Treatment of chronic lymphocytic leukemia (CLL) ,2016,240,,,,,31,94,3,1,,3,58,,,,No. Dr. Bierer reviewed TA label
FARYDAK,Oncology,,Multiple Myeloma,,Treatment of multiple myeloma ,2015,193,,,,,48,63,3,33,,1,35,5,0,,Yes
OCREVUS,Neurology,,Multiple Sclerosis,,Treatment of multiple sclerosis,2017,2388,,,,,61,92,4,0,11,,0,,,26,Yes
ENHERTU,Oncology,,Breast cancer,,Metastatic HER2-positive breast cancer ,2019,234,n/a - women,no,yes,no - white & asian majority,100,51,3,42,6,,26,,,35,Yes
KRINTAFEL,Infectious Diseases,,Other Infectious Diseases,,Prevention of malaria relapse caused by the parasite Plasmodium vivax ,2018,522,yes,no,no,no - non-white majority,25,2,11,19,70,,2,,,0,Yes
ONPATTRO,Neurology,,Other Neurology,,Treatment of nerve damage in adult patients with hereditary tranthyretin-mediated amyloidosis ,2018,225,yes,no,yes,no - white majority,26,73,2,23,12,,42,,,19,Yes
RYDAPT,Oncology,,Leukemia,AML,Treatment of acute myelpgenous leukemia,2017,717,,,,,56,38,2,2,2,,0,,,33,Yes
HEMLIBRA,Hematology,,Other Hematology,,To prevent or reduce bleeding in patients with hemophilia A,2017,189,,,,,0,56,11,26,12,,3,,,28,No. Dr. Bierer reviewed TA label
XCOPRI,Neurology,,Seizures,,Treatment of partial-onset seizures ,2019,655,yes,no,no,no - white majority,49,74,3,21,7,,2,,,29,Yes
VYZULTA,Ophthalmology,,,,Treatment of Glaucoma,2017,840,,,,,58,74,24,1,12,,52,,,91,No. Dr. Bierer reviewed TA label
FIRDAPSE,Neurology,,Other Neurology,,Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults ,2018,64,no,no,no,no - white majority,61,89,1,1,13,,20,,,61,Yes
PARSABIV,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of secondary hyperparathyroidism in patients with chronic kidney disease on hemodialysis,2017,226,,,,,40,66,28,3,13,,35,,,52,Yes
TURALIO,Oncology,,Other oncology,,Treatment of tenosynovial giant cell tumor ,2019,120,yes,no,no,no - white majority,59,88,3,3,14,,6,,,38,Yes
TEGSEDI,Neurology,,Other Neurology,,Treatment of nerve damage in adult patients with hereditary transthyretin-mediated amyloidosis ,2018,172,yes,no,yes,no - white majority,31,93,2,2,14,,43,,,48,Yes
VERZENIO,Oncology,,Breast cancer,,Treatment of HR-positive HER2-negative breast cancer,2017,801,,,,,100,61,2,27,12,,36,,,19,Yes
SKYRIZI,Dermatology,,,,Treatment of plaque psoriasis ,2019,1606,yes,no,yes,no - white majority,30,78,3,17,11,,11,,,40,No. Dr. Bierer reviewed TA label
CRESEMBA-2,Infectious Diseases,,Other Infectious Diseases,,Treatment of invasive mucormycosis ,2015,37,,,,,19,68,11,22,,0,14,8,0,,No. Dr. Bierer reviewed TA label
ORILISSA,Gynecology,,,,Treatment of moderate to severe pain associated with endometriosis ,2018,1686,n/a - women,no,yes,no - white majority,100,88,9,1,15,,0,,,75,No. Dr. Bierer reviewed TA label
Ga_68_DOTATOC,Medical Imaging,,,,Detection of somatostatin receptor positive neuroendocrine tumors ,2019,334,yes,no,yes,no - white majority,57,94,2,1,2,,18,,,100,No. Dr. Bierer reviewed TA label
GIAPREZA,Infectious Diseases,(really ICU Medicine),Other Infectious Diseases,,To increase blood pressure in septic or other distributive shock,2017,321,,,,,39,80,10,4,5,,48,,,74,No. Dr. Bierer reviewed TA label
BALVERSA,Oncology,,Bladder cancer,,Treatment of urothelial carcinoma ,2019,87,yes,no,yes,no - white majority,21,74,2,5,2,,61,,,22,Yes
OZEMPIC,Endocrinology and Metabolism,,Type 2 diabetes,,Treatment of type 2 diabetes mellitus,2017,7384,,,,,42,70,6,22,16,,34,,,28,Yes
BESPONSA,Oncology,,Leukemia,ALL,Treatment of B-cell acute lymphocytic leukemia,2017,326,,,,,41,71,2,17,,,37,,,47,Yes
PADCEV,Oncology,,Bladder cancer,,Treatment of urothelial carcinoma ,2019,125,yes,no,yes,no - white majority,30,85,2,9,4,,64,,,94,Yes
LUCEMYRA,Psychiatry,or Anesthesia and Analgesia,Opioid withdrawal,,Treatment of symptoms associated with opioid withdrawal during abrupt opioid discontinuation. ,2018,866,yes,no,yes,no - white majority,28,67,22,1,17,,1,,,100,No. Dr. Bierer reviewed TA label
MAVYRET,Infectious Diseases,,Hepatitis-C,,"Treatment of chronic hepatitis C genotypes 1,2,3,4,5 or 6",2017,2369,,,,,44,80,6,12,9,,14,,,32,Yes
VYONDYS_53,Neurology,,Muscular dystrophy,,Treatment of Duchenne muscular dystrophy ,2019,62,no,no,no,no - white majority,0,86,2,6,16,,0,,,81,Yes
DOPTELET,Hematology,,Other Hematology,,Treatment of adults with low platelet count ,2018,435,yes,yes,yes,yes,35,60,3,33,18,,25,,,19,No. Dr. Bierer reviewed TA label
EVENITY,Gynecology,Changed from Pulmonology and Rheumatology,,,Treatment of osteoporosis in postmenopausal women ,2019,11273,n/a - women,no,yes,no - white majority,100,62,2,10,37,,82,,,2,No. Dr. Bierer reviewed TA label
RHOPRESSA,Ophthalmology,,,,Treatment of open angle glaucoma,2017,1875,,,,,62,73,25,2,19,,54,,,100,No. Dr. Bierer reviewed TA label
FASEA,Pulmonology and Rheumatology,,,,Treatment of eosinophilic asthma,2017,1817,,,,,63,80,3,12,20,,13,,,15,No. Dr. Bierer reviewed TA label
OMEGAVEN,Endocrinology and Metabolism,(could be GI?),Other Endocrinology and Metabolism,,Treatment of parenteral nutrition-associated cholestasis (PNAC) ,2018,189,no,no,no,no,42,63,12,4,20,,0,,,100,No. Dr. Bierer reviewed TA label
EMGALITY,Neurology,,Migraine,,Preventive treatment of migraine in adults ,2018,2156,yes,no,no,no - white majority,85,77,8,6,21,,1,,,62,Yes
XOFLUZA,Infectious Diseases,,Other Infectious Diseases,,Treatment of the flu (influenza) in people twelve years of age and older ,2018,1119,yes,no,yes,no - white & asian majority,50,26,6,67,15,,0,,,34,Yes
TYMLOS,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of postmenopausal osteoporosis,2017,1645,,,,,100,80,3,16,24,,81,,,2,Yes
STEGLATRO,Endocrinology and Metabolism,,Type 2 diabetes,,Treatment of type 2 diabetes mellitus,2017,4859,,,,,48,77,5,13,24,,26,,,28,Yes
WAKIX,Sleep Disorders,,,,Treatment of excessive daytime sleepiness in patients with narcolepsy ,2019,266,yes,no,no,no - white majority,50,55,2,,,,6,,,0,Yes
OLUMIANT,Pulmonology and Rheumatology,,,,Treatment of adult patients with rheumatoid arthritis (RA) whose disease was not well controlled using RA medications called Tumor Necrosis Factor (TNF) antagonists ,2018,2456,yes,yes,yes,yes,80,67,3,25,25,,18,,,22,No. Dr. Bierer reviewed TA label
EPCLUSA,Infectious Diseases,,Hepatitis-C,,"Treatment of chronic Hepatitis C virus genotypes-1,2,3,4,5_or_6_infection ",2016,1825,,,,,38,85,6,7,,2,11,,,,No. Dr. Bierer reviewed TA label
REBLOZYL,Hematology,,Other Hematology,,Treatment of anemia in patients with beta thalassemia ,2019,336,yes,yes,yes,yes,58,54,1,35,2,,0,,,8,Yes
SEYSARA,Dermatology,,,,Treatment of certain types of acne vulgaris in patients nine years and older ,2018,2133,yes,yes,yes,yes,58,77,16,3,27,,0,,,100,No. Dr. Bierer reviewed TA label
TRIKAFTA,Pulmonology and Rheumatology,,,,Treatment of cystic fibrosis ,2019,510,yes,no,yes,no - black majority,50,93,1,,4,,0,,,60,No. Dr. Bierer reviewed TA label
MAYZENT,Neurology,,Multiple Sclerosis,,Treatment of relapsing forms of multiple sclerosis ,2019,1651,yes,no,yes,no - white majority,60,95,1,3,6,,0,,,9,Yes
BAXDELA,Infectious Diseases,,Other Infectious Diseases,,Treatment of actue bacteria skin and skin structure infection,2017,1510,,,,,37,86,5,0,28,,14,,,52,Yes
INGREZZA,Neurology,,Other Neurology,,Treatment of tardive dyskinesia,2017,445,,,,,42,57,39,1,28,,18,,,100,Yes
REVCOVI,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of adenosine deaminase severe combined immune deficiency (ADA-SCID). ,2018,10,no,no,no,no,40,30,10,40,30,,0,,,60,No. Dr. Bierer reviewed TA label
ANNOVERA,Gynecology,,,,Pregnancy prevention in women ,2018,2308,n/a - women,yes,no,yes,100,70,14,4,30,,0,,,67,No. Dr. Bierer reviewed TA label
LOKELMA,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of hyperkalemia in adults ,2018,1011,yes,yes,yes,yes,41,85,12,2,33,,57,,,90,No. Dr. Bierer reviewed TA label
ZINPLAVA,Infectious Diseases,,Other Infectious Diseases,,Decreasing the risk of Clostridium difficile infection recurrence ,2016,1567,,,,,57,85,5,8,,2,62,,,,No. Dr. Bierer reviewed TA label
BEOVU,Ophthalmology,,,,Treatment of wet age-related macular degeneration ,2019,1459,yes,no,yes,no - white & asian majority,56,86,1,11,8,,90,,,33,No. Dr. Bierer reviewed TA label
KEVZARA,Pulmonology and Rheumatology,,,,Treatment of rheumatoid arthritis,2017,1740,,,,,82,81,3,6,39,,13,,,14,No. Dr. Bierer reviewed TA label
TRULANCE,Gastroenterology,,,,Treatment of chronis idiopathic constipation,2017,1733,,,,,79,72,23,3,41,,11,,,98,No. Dr. Bierer reviewed TA label
MEPSEVII,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of mucopolysacchairdosis VII,2017,12,,,,,67,75,0,0,50,,0,,,100,No. Dr. Bierer reviewed TA label
AVYCAZ-2,Infectious Diseases,,Urinary tract infection,,Treatment of complicated urinary tract infection (abbreviated as cUTI) ,2015,135,,,,,74,60,5,10,,25,17,4,3,,No. Dr. Bierer reviewed TA label
GIVLAARI,Hematology,,Other Hematology,,Treatment of acute hepatic porphyria ,2019,94,no,no,no,no - white majority,89,78,1,16,9,,1,,,34,Yes
EMFLAZA,Neurology,,Muscular dystrophy,,Treatment of Duchenne musuclar dystrophy,2017,196,,,,,0,94,0,1,,,0,,,,Yes
EXONDYS_51-1,Neurology,,Muscular dystrophy,,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon_51 skipping ,2016,12,,,,,0,92,0,8,,0,0,,,,No. Dr. Bierer reviewed TA label
EXONDYS_51-2,Neurology,,Muscular dystrophy,,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon_51 skipping ,2016,13,,,,,0,100,0,0,,0,0,,,,No. Dr. Bierer reviewed TA label
CHOLBAM-2,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,"For treatment of peroxisomal disorders, including Zellweger spectrum disorders ",2015,226,,,,,33,83,0,0,,17,,,,,No. Dr. Bierer reviewed TA label
ORKAMBI,Pulmonology and Rheumatology,,,,Treatment of cystic fibrosis ,2015,1108,,,,,49,99,0,0,,1,0,0,0,,No. Dr. Bierer reviewed TA label
REPATHA-2,Cardiovascular Diseases,,Hyperlipidemia,,Treatment of certain patients with high cholesterol - Patients with HoFH,2015,49,,,,,49,90,0,4,,6,0,0,0,,Yes
STRENSIQ-1,Endocrinology and Metabolism,,Hypophosphatasia,,"Treatment of perinatal, infantile -onset hypophosphatasia (HPP) ",2015,79,,,,,52,81,0,9,,10,0,0,0,,No. Dr. Bierer reviewed TA label
STRENSIQ-2,Endocrinology and Metabolism,,Hypophosphatasia,,Treatment of juvenile-onset hypophosphatasia (HPP) ,2015,20,,,,,50,95,0,0,,5,0,0,0,,No. Dr. Bierer reviewed TA label
XURIDEN,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of patients with hereditary orotic aciduria ,2015,4,,,,,25,100,0,0,,0,,,,,No. Dr. Bierer reviewed TA label
NOURIANZ,Neurology,,Parkinson's,,Treatment of off episodes in patients with Parkinsons disease ,2019,1160,yes,no,yes,no,49,34,1,64,,,52,,,32,Yes
RUBRACA,Oncology,,Other oncology,,Treatment of women with certain type of advanced ovarian cancer ,2016,377,,,,,100,80,2,6,,12,42,,,,No. Dr. Bierer reviewed TA label
TECENTRIQ,Oncology,,Bladder cancer,,Treatment of a type of bladder cancer called urothelial carcinoma ,2016,310,,,,,78,91,2,2,,5,59,,,,No. Dr. Bierer reviewed TA label
ALECENSA,Oncology,,NSCLC,,For the treatment of metastatic non-small cell lung cancer ,2015,253,,,,,55,74,2,18,,7,14,4,1,,Yes
LENVIMA,Oncology,,Other oncology,,"Treatment of progressive, differentiated thyroid cancer (DTC) that can no longer be treated with radioactive iodine ",2015,392,,,,,49,79,2,18,,1,40,10,4,,Yes
AKYNZEO,Anesthesia and Analgesia,?Oncology,,,Prevention of the nausea and vomiting in adults receiving chemotherapy ,2018,844,yes,no,yes,no - white majority,40,100,1,1,,,32,,,1,No. Dr. Bierer reviewed TA label
NINLARO,Oncology,,Multiple Myeloma,,Treatment of multiple myeloma ,2015,722,,,,,43,85,2,9,,5,58,2,1,,Yes
VIZIMPRO,Oncology,,NSCLC,,Treatment of advanced non-small cell lung cancer ,2018,452,yes,no,yes,no - asian majority,60,23,1,77,0,,40,,,0,Yes
LIBTAYO,Oncology,,Melanoma/skin cancer,,Treatment of advanced skin cancer (squamous cell carcinoma) ,2018,163,yes,no,yes,no - white majority,15,96,1,1,3,,72,,,62,Yes
RYDAPT,Oncology,,Other oncology,,Treatment of systemic mastocytosis,2017,142,,,,,36,93,1,0,3,,45,,,41,Yes
